name,type,hp,attack,defense,speed,image_url
bulbasaur,"grass, poison",45,49,49,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/001.png
ivysaur,"grass, poison",60,62,63,60,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/002.png
venusaur,"grass, poison",80,82,83,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/003.png
charmander,fire,39,52,43,65,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/004.png
charmeleon,fire,58,64,58,80,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/005.png
charizard,"fire, flying",78,84,78,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/006.png
squirtle,water,44,48,65,43,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/007.png
wartortle,water,59,63,80,58,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/008.png
blastoise,water,79,83,100,78,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/009.png
caterpie,bug,45,30,35,45,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/010.png
metapod,bug,50,20,55,30,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/011.png
butterfree,"bug, flying",60,45,50,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/012.png
weedle,"bug, poison",40,35,30,50,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/013.png
kakuna,"bug, poison",45,25,50,35,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/014.png
beedrill,"bug, poison",65,90,40,75,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/015.png
pidgey,"normal, flying",40,45,40,56,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/016.png
pidgeotto,"normal, flying",63,60,55,71,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/017.png
pidgeot,"normal, flying",83,80,75,101,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/018.png
rattata,normal,30,56,35,72,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/019.png
raticate,normal,55,81,60,97,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/020.png
spearow,"normal, flying",40,60,30,70,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/021.png
fearow,"normal, flying",65,90,65,100,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/022.png
ekans,poison,35,60,44,55,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/023.png
